ProductKey;OrderDate;DueDate;ShipDate;CustomerKey;PromotionKey;SalesTerritoryCountry;SalesTerritoryGroup;SalesOrderNumber;SalesOrderLineNumber;UnitPrice;ProductStandardCost;SalesAmount;TaxAmt;First Name;Last Name;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;EnglishOccupation;HouseOwnerFlag;DateFirstPurchase;CommuteDistance;ProductAlternateKey;ProductName;ProductSubcategory;ProductCategoryName;StandardCost;Color;ListPrice;Size;SizeRange;Weight;ProductLine;Class;Style;ModelName;EnglishPromotionName
310;29/12/2010;10/01/2011;5/01/2011;21768;1;Canada;North America;SO43697;1;3578,27;2171,2942;3578,27;286,2616;Cole;Watson;19/02/1952;Single;Male;cole1@adventure-works.com;70000;5;0;Bachelors;Management;Y;29/12/2010;10+ Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
346;29/12/2010;10/01/2011;5/01/2011;28389;1;France;Europe;SO43698;1;3399,99;1912,1544;3399,99;271,9992;Rachael;Martinez;17/06/1970;Single;Female;rachael16@adventure-works.com;20000;3;3;High School;Manual;N;29/12/2010;0-1 Miles;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;44;42-46 CM;21,13;M ;H ;Unisex ;Mountain-100;No Discount
346;29/12/2010;10/01/2011;5/01/2011;25863;1;United States;North America;SO43699;1;3399,99;1912,1544;3399,99;271,9992;Sydney;Wright;1/06/1952;Single;Female;sydney61@adventure-works.com;40000;5;0;High School;Professional;Y;29/12/2010;10+ Miles;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;44;42-46 CM;21,13;M ;H ;Unisex ;Mountain-100;No Discount
336;29/12/2010;10/01/2011;5/01/2011;14501;1;United States;North America;SO43700;1;699,0982;413,1463;699,0982;55,9279;Ruben;Prasad;10/11/1943;Married;Male;ruben10@adventure-works.com;80000;4;0;Graduate Degree;Management;Y;29/12/2010;1-2 Miles;BK-R50B-62;Road-650 Black, 62;Road Bikes;Bikes;413,1463;Black;699,0982;62;60-62 CM;20;R ;L ;Unisex ;Road-650;No Discount
346;29/12/2010;10/01/2011;5/01/2011;11003;1;Australia;Pacific;SO43701;1;3399,99;1912,1544;3399,99;271,9992;Christy;Zhu;14/08/1973;Single;Female;christy12@adventure-works.com;70000;0;0;Bachelors;Professional;N;29/12/2010;5-10 Miles;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;44;42-46 CM;21,13;M ;H ;Unisex ;Mountain-100;No Discount
311;30/12/2010;11/01/2011;6/01/2011;27645;1;United States;North America;SO43702;1;3578,27;2171,2942;3578,27;286,2616;Colin;Anand;14/08/1972;Married;Male;colin45@adventure-works.com;120000;1;3;High School;Professional;Y;30/12/2010;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
310;30/12/2010;11/01/2011;6/01/2011;16624;1;Australia;Pacific;SO43703;1;;2171,2942;3578,27;286,2616;Albert;Alvarez;24/07/1983;Single;Male;albert7@adventure-works.com;90000;0;0;Bachelors;Professional;N;30/12/2010;10+ Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
344;30/12/2010;11/01/2011;6/01/2011;11011;1;;Pacific;SO43705;1;;1912,1544;3399,99;271,9992;Curtis;Lu;3/05/1969;Married;Male;curtis9@adventure-works.com;60000;4;4;Bachelors;Professional;Y;30/12/2010;10+ Miles;BK-M82S-38;Mountain-100 Silver, 38;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;38;38-40 CM;20,35;M ;H ;Unisex ;Mountain-100;No Discount
312;31/12/2010;12/01/2011;7/01/2011;27621;1;;North America;SO43706;1;;2171,2942;3578,27;286,2616;Edward;Brown;23/01/1975;Single;Male;edward26@adventure-works.com;160000;0;0;Graduate Degree;Management;N;31/12/2010;1-2 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
312;31/12/2010;12/01/2011;7/01/2011;27616;1;;North America;SO43707;1;;2171,2942;3578,27;286,2616;Emma;Brown;10/06/1971;Single;I;emma3@adventure-works.com;120000;3;2;Bachelors;Management;Y;31/12/2010;2-5 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
